WMO;Float S/N;PTT;Float;Last Tx;Last cycle;Battery;Launch Date;Cruise;Last Cycle Pmax;Surface float;Hydraulic;Last Cycle Grounded;Platform Maker;Firmware Version;Pr Version;Project Name;Float Owner;Pi Name;Deploy Platform;PR Experiment ID;N_LEVEL;Alert Status;Alert Error Flags;Alert Info Flags;Alert Warning Flags
5902526;6023;n/a;SOLO_D;2022-57-04 12:57:01;153;ok;2016-00-23 03:00:00;;;;-;0;SIO_IDG;"D00.50; SBE603 20Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902528;6030;n/a;SOLO_D;2022-05-06 09:05:02;125;ok;2017-00-02 03:00:00;;;;-;0;SIO_IDG;"D00.60; SBE603 27Mar17";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Palmer;US ARGO PROJECT;;0;[];[];[]
5902511;8521;n/a;SOLO_II;2022-20-06 07:20:00;207;ok;2016-00-27 06:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Revelle;US ARGO PROJECT;;0;[];[];[]
5902515;8525;n/a;SOLO_II;2022-05-08 10:05:57;207;ok;2016-00-31 07:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Revelle;US ARGO PROJECT;;0;[];[];[]
5902512;8522;n/a;SOLO_II;2022-18-06 02:18:58;207;ok;2016-00-28 05:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Revelle;US ARGO PROJECT;;0;[];[];[]
5902516;8526;n/a;SOLO_II;2022-24-06 04:24:00;202;ok;2016-00-31 05:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Revelle;US ARGO PROJECT;;0;[];[];[]
5902517;8528;n/a;SOLO_II;2022-54-12 11:54:58;209;ok;2016-00-01 05:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Revelle;US ARGO PROJECT;;0;[];[];[]
5902500;8509;n/a;SOLO_II;2022-19-05 04:19:03;198;ok;2016-00-07 05:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Kaharoa;US ARGO PROJECT;;0;[];[];[]
5902509;8512;n/a;SOLO_II;2022-33-14 08:33:04;208;ok;2016-00-25 06:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;US ARGO PROJECT;;DEAN ROEMMICH;R/V Revelle;US ARGO PROJECT;;0;[];[];[]
5902503;8513;n/a;SOLO_II;2022-47-08 02:47:02;198;ok;2016-00-10 12:00:00;;;;-;0;SIO_IDG;"V02.20; SBE602 27Jul16";;ARGO NEW ZEALAND;;PHIL SUTTON;R/V Kaharoa;ARGO NEW ZEALAND;;0;[];[];[]
